AOD,RH,WS,TEMP,PBL,SP,NDVI,PM2.5
24,27.1,8.395,266.27,845,92.442,1704,7.05
20,27.2,8.494,266.19,845.1,92.876,1455,19.135
34,27.3,8.935,266.12,827.88,93.714,1542,23.29
60,26.1,8.741,266.17,969.15,99.672,1758,17.85
50,25.5,8.595,266.49,987.53,99.915,1663,25.09
59,25.2,8.736,267.21,950.99,97.385,1830,22.64
73,23.9,8.274,267.86,989.87,98.191,1550,34.18
28,22.6,3.976,270.22,988.88,94.424,2268,11.62
27,22.2,4.009,270.61,1000.4,94.878,2394,17.58
24,22.2,3.962,270.6,1012.8,94.924,1893,20.73
46,34.5,7.228,266.68,660.07,87.908,1975,23.935
39,34.4,7.365,266.69,663.31,87.964,2348,22.91
69,33.6,6.704,267.13,684.66,88.449,1394,22.27
55,33.5,6.842,267.17,689.47,88.548,1573,26.23
60,19,3.493,274.05,1097.1,98.276,2128,26.73
72,20.8,4.393,273.6,1018,96.574,1901,21.91
27,33.2,3.468,267.24,608.77,87.516,1423,37.5
28,33.4,3.467,267.19,606.41,87.602,1421,34.57
108,19.4,4.163,274.69,1060.1,98.418,1633,32.5
132,18.8,3.563,275.14,1105.4,100.06,1727,30.64
126,18.9,3.896,275.41,1086.4,100.1,1805,40.23
130,18.8,3.676,275.4,1098.4,100.4,1221,35
133,18.7,3.464,275.39,1110.3,100.71,1477,33.545
53,19.5,3.07,271.68,1072.6,81.081,707,35.64
159,18.7,3.408,275.51,1101.4,100.87,1378,38.57
162,18.7,3.33,275.47,1106.3,101.11,1162,35.45
96,20.3,4.034,273.78,1082.9,102.15,1211,32.18
102,20.3,3.97,273.68,1092.7,102.12,1291,33.98
75,28.4,7.534,269.72,1286.5,101.8,2480,28.09
75,28.1,7.611,269.58,1273.9,101.71,2028,31.55
129,28.9,0.995,272.31,425.07,84.144,883,73.7
168,18.8,3.635,275.44,1061.8,102.4,1757,28.18
171,19,3.895,275.3,1045.5,102.45,1972,29.257
112,29.2,0.957,272.38,340.6,84.649,1612,137.46
148,18.9,4.254,274.99,1107.7,102.7,1378,38.73
143,18.8,4.254,275.05,1144.5,102.73,899,30
179,18.8,4.341,274.97,1152.5,102.73,1027,26.82
248,18.9,4.522,274.81,1168.4,102.72,1534,26.91
167,18.7,4.264,275.1,1181.4,102.76,1253,30.62
169,18.8,4.39,275.02,1190.9,102.75,1114,32.68
185,18.8,4.518,274.95,1200.4,102.74,1265,23.18
248,18.1,2.84,275.84,1112.6,101.39,1767,63.52
229,18.7,4.228,275.11,1199.5,102.77,-117,33.45
203,17.9,2.955,275.87,1094.6,101.62,1261,66.88
201,17.6,2.971,276.04,1122,102.15,1520,62.035
189,19,4.506,274.82,1234.3,102.76,1079,25
83,34.3,8.165,272.01,1399.4,102.46,-2421,21.23
139,17.9,3.628,275.27,1139.3,102.76,1567,27.84
134,17.9,3.554,275.21,1132.8,102.75,1559,38.27
49,42.9,10.235,272.53,1247.2,102.2,665,10.19
55,22.6,4.429,274.64,1283.3,102.57,1875,23.5
55,22.9,4.489,274.64,1292.1,102.55,2238,26.32
52,35.8,6.183,272.9,1307.4,101.69,2706,13.115
38,40.5,8.9,272.71,1299,101.84,2146,7.18
